,tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone
12165,570271574462369793,positive,1.0,,,American,,pilot991,,0,"@AmericanAir we are off to Kax premium.  Hoping this flight is better food, TV now I know how to work it and service. Tnx",,2015-02-24 09:18:33 -0800,new england,Central Time (US & Canada)
6064,568377392420356096,positive,1.0,,,Southwest,,vincentpowell,,0,"@SouthwestAir DM sent! Thanks so much for responding! Your response was so timely, I missed it!",,2015-02-19 03:51:44 -0800,"Houston, TX",Central Time (US & Canada)
45,570012257549070337,positive,1.0,,,Virgin America,,arieldaie,,0,@VirginAmerica I'm #elevategold for a good reason: you rock!!,,2015-02-23 16:08:07 -0800,Los Angeles,
2745,568922616800657411,positive,1.0,,,United,,Mimsw,,0,@united Gate Agent Alavera is amazing,,2015-02-20 15:58:16 -0800,"Boulder, CO",Mountain Time (US & Canada)
9240,570037369841135616,positive,0.3709,,0.0,US Airways,,kiasuchick,,0,@USAirways @AmericanAir Can you bring guinea pigs in small pet carrier onboard your flights?,,2015-02-23 17:47:54 -0800,"Los Angeles, CA",Pacific Time (US & Canada)
6272,568085962049216514,positive,1.0,,,Southwest,,Nick_Astalos,,0,@SouthwestAir @love_dragonss LAUREN OMG IM DEAD IM SO SO HAPPY FOR YOU YES YES,,2015-02-18 08:33:42 -0800,PostVegasDepression in Texsus,Eastern Time (US & Canada)
8725,567899906150703104,positive,1.0,,,Delta,,mypumpkinheads,,0,@JetBlue thank you for help and quick response,,2015-02-17 20:14:23 -0800,,Eastern Time (US & Canada)
138,569620102389350401,positive,0.7011,,,Virgin America,,HollywoodHotMom,,0,@VirginAmerica always!!! Xoxo,,2015-02-22 14:09:50 -0800,All Over!,Pacific Time (US & Canada)
5587,568882321119510528,positive,1.0,,,Southwest,,jodyfuller,,0,"@SouthwestAir, thanks for being so good to us #military folk. It's cold in #StLouis but I sure enjoyed my flight. http://t.co/RcdH183Q1J","[38.73434659, -90.35501265]",2015-02-20 13:18:09 -0800,"Opelika, Alabama ",Central Time (US & Canada)
7252,569741756968919040,positive,0.6774,,,Delta,,KnockoutOC,,0,@JetBlue last sleep in Cali... back to JFK tomorrow night.  Looking forward to an another amazing flight with you all :),"[33.7008468, -118.0192094]",2015-02-22 22:13:14 -0800,New York City,Atlantic Time (Canada)
11928,570296572375900160,positive,0.6628,,,American,,TheVirtualJosh,,0,"@AmericanAir yes yes yes,so glad to be headed home!",,2015-02-24 10:57:53 -0800,,
6811,570239272575315969,positive,1.0,,,Delta,,nokidhungry,,0,"@eatgregeat WOW~Thx for thinking of us, Greg! Heard #SOBEWFF was amazing! We've heard the same about @JetBlue (ps thx for the info) #TeamNKH",,2015-02-24 07:10:11 -0800,"Washington, DC",Eastern Time (US & Canada)
11384,568155954484797442,positive,1.0,,,US Airways,,CSquieri,,0,@USAirways thanks to Betty working gate at ILM and lovely gate agents here in CLT helping me get home 2 Phx tonight instead of tomorrow,"[35.21820752, -80.94527061]",2015-02-18 13:11:50 -0800,"Mesa, AZ
",Arizona
8909,567758065320361985,positive,1.0,,,Delta,,roxydigital,,0,"@JetBlue @JayVig YES! Great real-time example. Thanks for being awesome, #JetBlue! #JVMChat",,2015-02-17 10:50:45 -0800,"Charlotte, NC",Eastern Time (US & Canada)
8535,568183785558310914,positive,0.6196,,0.0,Delta,,selirodz,,0,@JetBlue Yes That's true but they are a bit pricey I will look into it further. Love you guys.,,2015-02-18 15:02:25 -0800,"South Miami Heights, Florida",Eastern Time (US & Canada)
3289,568552711840358401,positive,0.6563,,0.0,United,,Clashysass,,0,@united we were able to get on the moon flight! Just got to our hotel in Puerto Rico! Thank you!,,2015-02-19 15:28:24 -0800,"Somerville, MA",
6824,570227199766179840,positive,0.6606,,,Delta,,texdoh,,0,@JetBlue Thx for the quick response .... yep I tried- but it can't find the flight when I Input the Confirmation #,,2015-02-24 06:22:13 -0800,"iPhone: 40.955353,-73.813942",Central Time (US & Canada)
10428,569314643627413504,positive,0.7033,,,US Airways,,CURVESandCHAOS,,0,@USAirways thank you!!!,,2015-02-21 17:56:03 -0800,Los Angeles ,Pacific Time (US & Canada)
8854,567798973008994304,positive,1.0,,,Delta,,gigiri27,,0,@JetBlue love traveling with Jetblue. Cant wait to go to Paris oui oui!!! NYC was awesomeee!,,2015-02-17 13:33:19 -0800,,
3321,568527517910319104,positive,0.6712,,0.0,United,,jeggers,,0,@united thanks for making sure they hear the message!,,2015-02-19 13:48:17 -0800,"BOS, SFO, NYC, ++",Eastern Time (US & Canada)
6237,568105106647838720,positive,0.6421,,,Southwest,,seanpetykowski,,0,"@SouthwestAir just added #passbook support to their iOS application! Finally, I get to add them to my collection. http://t.co/lEdNoCdQee","[30.43823709, -97.76632883]",2015-02-18 09:49:46 -0800,"Austin, TX",Central Time (US & Canada)
3130,568650439639437313,positive,1.0,,,United,,Random55Dude,,0,@united you guys are awesome! Thanks!,,2015-02-19 21:56:44 -0800,,
3687,568186071114252288,positive,0.7076,,0.0,United,,officialpcoops,,0,@united have reported it.  Still in Istanbul at the moment apparently.  On the other plane haha.  Hats off to the pilot!,,2015-02-18 15:11:30 -0800,,
5666,568827958527275008,positive,1.0,,,Southwest,,alycam,,0,@SouthwestAir shhhh i don't want something else to steal our deal😉,,2015-02-20 09:42:08 -0800,Kansas City,Central Time (US & Canada)
14164,569659599709704192,positive,1.0,,,American,,Gamerguy212,,0,"@AmericanAir versus @JetBlue 
in Customer Service?
Who will win!
For Me @AmericanAir is a convenience to a trip to Cali &lt;3",,2015-02-22 16:46:46 -0800,New York City ,Eastern Time (US & Canada)
2952,568817894030741504,positive,0.6641,,0.0,United,,redirsrm,,0,@united love being told you would issue a refund when you couldn't get us out of the way of a hurricane to have it denied,,2015-02-20 09:02:08 -0800,,Eastern Time (US & Canada)
4022,567869009661665280,positive,1.0,,,United,,ShariKPalmer,,0,"@united be  ""Chicago's hometown airline"" care about your neighbors #SaveTheDiagonals #FlyQuiet #ORDNoise",,2015-02-17 18:11:37 -0800,,
12501,570145106415771648,positive,1.0,,,American,,nembro78,,0,@AmericanAir Such a suprise! New vanity kit set for frequent travellers 😀 thank you AA! http://t.co/fA7Nygn1Ux,,2015-02-24 00:56:00 -0800,,Rome
3334,568516490405679104,positive,1.0,,,United,,lucianosr83,,0,"@united @perfectomobile I have to admit that not only the app is good but have lots of useful func (such the ""live"" seat map). Congrats",,2015-02-19 13:04:28 -0800,Brazil,
451,567908796917420032,positive,0.6431,,,Virgin America,,HaraLillier,,0,@VirginAmerica I am all about the in flight artisanal cheese and wine pairing.,,2015-02-17 20:49:43 -0800,,Atlantic Time (Canada)
4065,567842806930239488,positive,0.6559999999999999,,,United,,egspoony,,0,@united ooh thanks!,,2015-02-17 16:27:29 -0800,"Chicago, IL",Central Time (US & Canada)
307,568803996774879232,positive,0.6884,,,Virgin America,,GabriellaDago,,0,"@VirginAmerica I mean. Probably inappropriate while on board.. But, it's on!",,2015-02-20 08:06:55 -0800,New York City,Eastern Time (US & Canada)
8100,568794248654426112,positive,0.7053,,,Delta,,mariobonifacio,,0,"Thanks! Hope I don't look like a complainer, I've written of good experiences w/you in the past and am making do in terminal 5 :) @JetBlue",,2015-02-20 07:28:11 -0800,New York,Eastern Time (US & Canada)
2329,569258013950808064,positive,0.6533,,,United,,IanJolicoeur,,0,"@united thanks, we did.",,2015-02-21 14:11:01 -0800,,
4804,569713993532600321,positive,0.7066,,0.0,Southwest,,bashomosko,,0,.@SouthwestAir Thx for the follow up. Just sent DM,,2015-02-22 20:22:55 -0800,"boulder, co",Pacific Time (US & Canada)
113,569872058613673984,positive,0.6779999999999999,,,Virgin America,,Silvanabfer,,0,@VirginAmerica Have a great week 🌞✈,,2015-02-23 06:51:01 -0800,,
11952,570284862122233856,positive,1.0,,,American,,pokecrastinator,,0,@AmericanAir Aww cool! It's nice to know they are still up above my head then. One of my faves.,,2015-02-24 10:11:21 -0800,United States,Mountain Time (US & Canada)
4723,569900147343265792,positive,0.6859,,0.0,Southwest,,lizStonewriter,,0,"@SouthwestAir open seating is like an open marriage, there's so much love for strangers!",,2015-02-23 08:42:38 -0800,,
10472,569269594386526209,positive,0.6276,,,US Airways,,PinkBird,,0,"@USAirways woohoo! He still has 1 more flight but so happy to hear they're in the air, just about cried! (Must be the preggo hormones!) thx!",,2015-02-21 14:57:02 -0800,,Mountain Time (US & Canada)
7090,569938470824574976,positive,1.0,,,Delta,,DivineMinded,,0,“@JetBlue: Our fleet's on fleek. http://t.co/3kVkd8yRxa” + lol wow,,2015-02-23 11:14:55 -0800,Raising Through 7,Eastern Time (US & Canada)
3109,568669880922165248,positive,1.0,,,United,,bren8oh8,,0,"@united Thanks Yup I'm all set.  It happens.   SLC ground staff were prompt,  helpful and courteous.","[40.7868699, -111.9790833]",2015-02-19 23:13:59 -0800,SoCal is where my mind stays,
4982,569585343084650496,positive,0.6906,,0.0,Southwest,,Jesswhy,,0,"@SouthwestAir stewardess really funny! Now I could get the gent next to me to use some headphones, this would be the perfect flight!",,2015-02-22 11:51:42 -0800,,Pacific Time (US & Canada)
5958,568458879220076545,positive,0.6395,,0.0,Southwest,,TheLalaine,,0,"@SouthwestAir is really stepping up their ""service""🐩 http://t.co/VQTyza6Mzu",,2015-02-19 09:15:32 -0800,Space (till back in the PH),Pacific Time (US & Canada)
3112,568663431433187328,positive,1.0,,,United,,AMMBoman,,0,@united thank you so much. How will you be able to contact me?,,2015-02-19 22:48:21 -0800,Kaizen 改善,Arizona
13556,569832363527708674,positive,0.6623,,0.0,American,,TheMightyGarn,,0,@AmericanAir v nice of you to give me a breakfast voucher for $7 in an airport. That almost got me a whole drink!!,,2015-02-23 04:13:17 -0800,"Chicago, IL",Central Time (US & Canada)
5604,568873020460126209,positive,1.0,,,Southwest,,Claireculb,,0,@SouthwestAir thank you so so much for sending me to LA for #DestinationDragons! Tonight is gonna rock😎,,2015-02-20 12:41:11 -0800,TX ΚΔ,Central Time (US & Canada)
8033,568851381769134080,positive,0.6639,,,Delta,,JPopsie,,0,@JetBlue I'll see you on board again soon!,,2015-02-20 11:15:12 -0800,Global,Eastern Time (US & Canada)
5506,568940981321637889,positive,1.0,,,Southwest,,fishie1199,,0,@SouthwestAir you are lucky to have people like Annamarie and Norris at BWI. I hope they get recognized for excellent cust. service,,2015-02-20 17:11:15 -0800,,Quito
14391,569621883282280448,positive,1.0,,,American,,kidith_paulino,,0,@AmericanAir AA2416 on time and awesome flight. Great job American!,"[25.79101279, -80.28861743]",2015-02-22 14:16:54 -0800,,Eastern Time (US & Canada)
13750,569727383797829632,positive,1.0,,,American,,the_Dyp,,0,@AmericanAir Joanna did a WONDERFUL job!  Thank her for me?,,2015-02-22 21:16:07 -0800,"Madison, WI",Central Time (US & Canada)
5353,569171003852468224,positive,1.0,,,Southwest,,KyleHarward,,0,@SouthwestAir @SouthwestOliver that's a great FA right there.,,2015-02-21 08:25:16 -0800,"Farmington, Utah",
5096,569347549858934784,positive,1.0,,,Southwest,,CharlesJenkins7,,0,@SouthwestAir never lets me down!!!,,2015-02-21 20:06:48 -0800,"Chicago, IL",Central Time (US & Canada)
11736,567788199175786496,positive,0.6637,,0.0,US Airways,,NaomiSheltonDC,,0,@USAirways thanks. 😒,,2015-02-17 12:50:30 -0800,,Eastern Time (US & Canada)
2205,569316547673526272,positive,0.6997,,,United,,Mumon7,,0,@united Thanks for the upgrade- please try to get my company to approve more business class travel.,,2015-02-21 18:03:37 -0800,"Vancouver, WA",Pacific Time (US & Canada)
8275,568540063216197632,positive,1.0,,,Delta,,nadinefrostmace,,0,@JetBlue you reimbursed everyone on the flight a portion of their ticket. I still love JetBlue! Best American airline!,,2015-02-19 14:38:08 -0800,"Naples, Fl",
4892,569667787829809152,positive,0.6709,,,Southwest,,mmuller1,,0,@SouthwestAir sign me up!,,2015-02-22 17:19:19 -0800,,
3870,568064545568092160,positive,1.0,,,United,,TravelRater,,0,@united -today the staff @ MSP took customer service to a new level. My father passed away last night &amp; you helped me get home today! Thanks,,2015-02-18 07:08:36 -0800,,
8420,568394078817267712,positive,1.0,,,Delta,,MaybeTonight,,0,@JetBlue OH YEAH!!! great flight down to Mexico with a wonderful crew!! Thank you!!,,2015-02-19 04:58:03 -0800,Bay Shore NY,Eastern Time (US & Canada)
2891,568845539405656064,positive,1.0,,,United,,Easy_E_,,0,@united thanks for prompt response.  Another hour to enjoy vacation! Perhaps a bug in the app as it still shows 2:55.,,2015-02-20 10:51:59 -0800,Tri State NY area...,Eastern Time (US & Canada)
13384,569876837087580161,positive,1.0,,,American,,sfty1intx,,0,@AmericanAir  thanks hoping that by wed I can get back to DFW,,2015-02-23 07:10:00 -0800,,
4058,567845953245413376,positive,0.6307,,0.0,United,,palmettoblossom,,0,"@united amazing flying over 25,000 miles on #UnitedAirlines &amp; alliance last year; still got jilted out of status! #moneyelsewhere",,2015-02-17 16:39:59 -0800,,
119,569770363623575552,positive,1.0,,,Virgin America,,SamBrittenham,,0,"@VirginAmerica Love the team running Gate E9 at LAS tonight. Waited for a delayed flight, and they kept things entertaining",,2015-02-23 00:06:55 -0800,USA,Eastern Time (US & Canada)
6851,570190438281248768,positive,0.6779999999999999,,,Delta,,joahspearman,,0,@JetBlue great will do once I land in JFK,,2015-02-24 03:56:08 -0800,Austin,Central Time (US & Canada)
745,570105020999344128,positive,1.0,,,United,,MelanieSpring,,0,“@united: @MelanieSpring We'll see what we can do. ^KN” We are running! Most of this plane is running. Thanks for the help!,,2015-02-23 22:16:43 -0800,"Washington, DC",Eastern Time (US & Canada)
8396,568425693828132864,positive,1.0,,,Delta,,AliBessette,,0,@JetBlue okay awesome! Thank you!,,2015-02-19 07:03:40 -0800,,Quito
6848,570195036782133248,positive,1.0,,,Delta,,brandyanncakes,,0,@JetBlue why are you always so amazing! #jetblue #trueblue http://t.co/iIMTJxcvLG,,2015-02-24 04:14:25 -0800,boston ma,Atlantic Time (Canada)
9035,570274750821486592,positive,1.0,,,US Airways,,DCEssig,,0,@USAirways thank you very much.,,2015-02-24 09:31:10 -0800,,Eastern Time (US & Canada)
2077,569383892542738432,positive,0.6683,,,United,,StephanieWeyant,,0,@united Just sent a DM. Thank you for the acknowledgment.,,2015-02-21 22:31:13 -0800,New York City,
4246,567754288055988224,positive,0.6526,,,United,,swampynomo,,0,@united stay warm - I will be passing through Chicago next week,,2015-02-17 10:35:45 -0800,NJ/NYC,Eastern Time (US & Canada)
13805,569714439517138944,positive,1.0,,,American,,joeyquart,,0,@AmericanAir we made it so no worries... You guys did good tonight and even put @ESPN_CoachMack on my flight #firstclass,,2015-02-22 20:24:41 -0800,Buda Texas,Central Time (US & Canada)
8694,568008802865274880,positive,1.0,,,Delta,,KarlaBaerga,,0,@JetBlue its always a pleasure ☺️,,2015-02-18 03:27:06 -0800,,Quito
4137,567809206314668033,positive,1.0,,,United,,dom_inic15,,0,@united You might be dealing with frustrated passenegers. hope you all have a great day :) thank you very much for an amazing airline :),,2015-02-17 14:13:58 -0800,,Eastern Time (US & Canada)
8550,568172923531481088,positive,1.0,,,Delta,,ft_tyman,,0,@JetBlue I would go to Las Vegas. It is gorgeous and I go there every year and I fly with you guys Vegas is gorgeous &amp; so much to do there.🌴,,2015-02-18 14:19:15 -0800,NBMA,Eastern Time (US & Canada)
6191,568144447931686912,positive,1.0,,,Southwest,,Mariextweets,,0,@SouthwestAir amazing service by your SW stewardesses! From den to Cun and from CUN to Atl and atl to lax. Thank u!,,2015-02-18 12:26:06 -0800,,Pacific Time (US & Canada)
7914,568984446487166976,positive,1.0,,,Delta,,FerrisSalameh,,0,@JetBlue thank you,"[40.7171667, -73.96415608]",2015-02-20 20:03:57 -0800,"Brooklyn, NY",Eastern Time (US & Canada)
12277,570245367607857153,positive,1.0,,,American,,ShpprMktMichael,,0,@AmericanAir thanks for the update,,2015-02-24 07:34:24 -0800,USA,
13422,569867363580903424,positive,1.0,,,American,,elusivegoalie,,0,@AmericanAir thanks for responding ... will do!,,2015-02-23 06:32:21 -0800,,Eastern Time (US & Canada)
4164,567798535262060544,positive,1.0,,,United,,Unocrew224,,0,@united holy high speed internet batman!  Speeds at United Club at IAD are insanely fast!  Thanks,,2015-02-17 13:31:34 -0800,NJ,Eastern Time (US & Canada)
7558,569532566610571265,positive,0.67,,0.0,Delta,,FinleyBklynCFS,,0,@JetBlue things happen it's ok just wish I was on the beach and not in the airport,,2015-02-22 08:21:59 -0800,,Central Time (US & Canada)
10984,568638610385158145,positive,0.3491,,0.0,US Airways,,jdbwaffles,,0,"“@USAirways: @jdbwaffles We're excited to have you fly with us, JB! When will this be?” Spring Break !!!",,2015-02-19 21:09:44 -0800,,
6966,569983421549834240,positive,1.0,,,Delta,,lucianosr83,,0,"@JetBlue I would prefer a similar picture but full of E190 tails, but great shot!",,2015-02-23 14:13:32 -0800,Brazil,
6197,568137557935960066,positive,1.0,,,Southwest,,Shadowjin12,,0,@SouthwestAir once or twice a year. Hard to get vacation time from work sometimes. But love flying with you guys!,,2015-02-18 11:58:43 -0800,,
3166,568621100914991104,positive,1.0,,,United,,ChadARichardson,,0,"@united thanks, keep up the good work",,2015-02-19 20:00:09 -0800,Raleigh,
5769,568621312622657536,positive,0.6484,,,Southwest,,geekstiel,,0,@SouthwestAir I would love to go to the Atlanta show ♥️,,2015-02-19 20:01:00 -0800,,Atlantic Time (Canada)
7863,569154503188070400,positive,1.0,,,Delta,,Amaznred,,0,@JetBlue thanks for getting me to Orlando early #happiness,"[28.42301907, -81.29654204]",2015-02-21 07:19:42 -0800,,
5084,569358458404802561,positive,1.0,,,Southwest,,JustaThoughtR2,,0,@SouthwestAir Southwest Airline is THE way to go!,,2015-02-21 20:50:09 -0800,,
13525,569841575737499648,positive,1.0,,,American,,TheTimSales,,0,@AmericanAir Karen Riedel is a rock star employee and a miracle worker.  I really appreciated her help this morning!,,2015-02-23 04:49:53 -0800,"Dallas, TX",Central Time (US & Canada)
306,568805696780824576,positive,1.0,,,Virgin America,,matthewhirsch,,0,@VirginAmerica Hi! Just wanted to see if you have any new routes planned this year for Newark. Love flying you guys and hope to do so more!,,2015-02-20 08:13:40 -0800,"Hoboken, NJ",Eastern Time (US & Canada)
5852,568546953262436352,positive,1.0,,,Southwest,,WOOKesq,,0,"@SouthwestAir thank you, will do",,2015-02-19 15:05:31 -0800,catch me if you can,Eastern Time (US & Canada)
3566,568264293478744064,positive,0.6246,,,United,,laboyd99,,0,"@united yes, Thx! At 10:35 (landed at 9:20).",,2015-02-18 20:22:20 -0800,,
247,569165709516759042,positive,1.0,,,Virgin America,,moosekazmi,,0,@VirginAmerica thanks guys! Sweet route over the Rockies #airplanemodewason,,2015-02-21 08:04:14 -0800,"Las Piedras, Peru",
127,569652497947734017,positive,1.0,,,Virgin America,,JKF1897,,0,@VirginAmerica completely awesome experience last month BOS-LAS nonstop. Thanks for such an awesome flight and depart time. #VAbeatsJblue,,2015-02-22 16:18:33 -0800,,
5435,569030463760650241,positive,1.0,,,Southwest,,BelovedDavida,,0,@SouthwestAir had a great LA flight with Clarence and Frank! Those 2 guys are a hoot! 😜😂 thanks,,2015-02-20 23:06:49 -0800,New York,
5526,568925459540344833,positive,1.0,,,Southwest,,jnlerner,,0,@SouthwestAir so happy that you can finally put your #southwestairlines boarding pass into passbook! Makes life so much easier ✈️,,2015-02-20 16:09:34 -0800,Los Angeles,Pacific Time (US & Canada)
8917,567750136223518720,positive,1.0,,,Delta,,amyfame,,0,@JetBlue Thank you!,,2015-02-17 10:19:15 -0800,,Eastern Time (US & Canada)
1066,569939149756755968,positive,1.0,,,United,,roxymtjoy,,0,@united thank YOU for your kindness. Your agents went above &amp; beyond to get my stranded family home.,,2015-02-23 11:17:36 -0800,Pittsburgh area,Eastern Time (US & Canada)
11164,568469645843279872,positive,1.0,,,US Airways,,cahillwilliamr,,0,"@USAirways #success made flight , please thank the crew of 556 great time recovery",,2015-02-19 09:58:19 -0800,,
6352,568028183267639297,positive,0.3356,,0.0,Southwest,,CourtSnod,,0,@SouthwestAir de-icing is important!,,2015-02-18 04:44:07 -0800,Tennessee Original,Central Time (US & Canada)
4763,569864693998690304,positive,0.6675,,,Southwest,,Kateria_Nicole,,0,@SouthwestAir  Just sent DM. Thanks for your attentiveness to this matter.,,2015-02-23 06:21:45 -0800,"Atlanta, GA",Eastern Time (US & Canada)
6830,570221178658418689,positive,1.0,,,Delta,,AStateOfSnark,,0,@JetBlue incredible PR team. 👏👏👏👏,,2015-02-24 05:58:17 -0800,Boston,Atlantic Time (Canada)
1528,569681499928158208,positive,1.0,,,United,,markinhifi,,0,"@united They let us know in advance of the reboot, yes :) Thanks for the attentiveness!",,2015-02-22 18:13:48 -0800,"Queens, NY",Eastern Time (US & Canada)
6575,567773445195583488,positive,1.0,,,Southwest,,MatthewJLeBlanc,,0,@SouthwestAir Thanks for the response. Was able to get my situation resolved. Not a fan of Mother Nature today. :),,2015-02-17 11:51:52 -0800,"Nashville, TN",Central Time (US & Canada)
246,569176777056079874,positive,1.0,,,Virgin America,,Recessionista,,0,@VirginAmerica Thanks for your great customer service today &amp; for helping me get all my travel sorted out!,,2015-02-21 08:48:13 -0800,"Los Angeles, CA",Pacific Time (US & Canada)
6930,570010882069151744,positive,1.0,,,Delta,,sicula,,0,@JetBlue you found my camera!  Thank you!  You rock!,"[41.21681145, -73.12508256]",2015-02-23 16:02:39 -0800,"Stratford, CT",Eastern Time (US & Canada)
8660,568066927723212800,positive,1.0,,,Delta,,SweetLilYou,,0,"@JetBlue Great flight, as always! Thank you to the great crew on flight 475! #travel #jetblue","[28.4261453, -81.2998841]",2015-02-18 07:18:04 -0800,Rhode Island ,Eastern Time (US & Canada)
4923,569644492040613888,positive,0.6807,,0.0,Southwest,,cyndibrown327,,0,@SouthwestAir Weather keeps slowing us down. Not your fault. This is the 1st time a Southwest flight of mine was Late Flight so I can't complain :),,2015-02-22 15:46:45 -0800,,Eastern Time (US & Canada)
6228,568108100827217920,positive,1.0,,,Southwest,,BryanAndaya,,0,@SouthwestAir thank you kindly.,"[0.0, 0.0]",2015-02-18 10:01:40 -0800,"Houston, Texas",Mountain Time (US & Canada)
8041,568843160224452608,positive,0.6701,,0.0,Delta,,s_m_i,,5,This is so smart it makes me angry MT @JetBlue: We’ve partnered with @WSJ to bring you free digital access onboard! http://t.co/0LiwEcAsOe,,2015-02-20 10:42:32 -0800,,Eastern Time (US & Canada)
8640,568091845848231937,positive,1.0,,,Delta,,JDesca01,,0,@JetBlue Flight Booking Problems flights for a DC visit for Easter weekend started difficult but ended well with you guys! Big fan here. :),,2015-02-18 08:57:05 -0800,Boston,Eastern Time (US & Canada)
6240,568103931307405312,positive,1.0,,,Southwest,,BuckeyePatricia,,0,"@SouthwestAir allows you to change a flight once for no fee, yay! I will always book flights with them. @AmericanAir changes you $200",,2015-02-18 09:45:06 -0800,"Austin, TX",Eastern Time (US & Canada)
12137,570279118438182913,positive,1.0,,,American,,kdtate,,0,"@AmericanAir great, thanks!",,2015-02-24 09:48:31 -0800,,
2890,568845724110213120,positive,1.0,,,United,,rockstarbrands,,0,@united Thanks!,,2015-02-20 10:52:43 -0800,YHZ,Atlantic Time (Canada)
9159,570098159076171776,positive,1.0,,,US Airways,,cookyvonne,,0,@USAirways thanks very much! I got thru on the phone &amp; everything is fine. Just love the website &amp; app ! Thanks for working on it!,,2015-02-23 21:49:27 -0800,,
12092,570295745921880064,positive,0.6909,,,American,,THE_amandajean,,0,@AmericanAir thanks keep me updated just hope I make either of my connections to Killeen Tx,,2015-02-24 10:54:36 -0800,the one and only TEXAS!!!!,Mountain Time (US & Canada)
4375,570282333892251648,positive,0.6729999999999999,,0.0,Southwest,,kelsey_rae2011,,0,@SouthwestAir tv stream means I get to spend my flight watching 1999 and 2011 Women's World Cup Finals. #throwback #bestflightever,,2015-02-24 10:01:18 -0800,,
2950,568818335200223232,positive,0.6746,,0.0,United,,alexster4324,,0,@united can't wait!!! 787!!! @tpallini http://t.co/oDlall5eDH,,2015-02-20 09:03:53 -0800,,
455,567858317831249920,positive,0.7162,,,Virgin America,,mctrees02,,0,@VirginAmerica now it's just t-minus 32 minutes until my Elevate a Silver upgrade window opens . #FreeNeverSucks 😃👍,,2015-02-17 17:29:07 -0800,"Dallas, TX",Central Time (US & Canada)
5372,569162276403609600,positive,1.0,,,Southwest,,Daniel_JDixon,,0,@southwestair your attendants at the ATL airport are awesome! Very helpful with all the Cancelled Flightlations this morning.,,2015-02-21 07:50:35 -0800,Oklahoma City,Central Time (US & Canada)
7597,569517479296409600,positive,1.0,,,Delta,,MichaelRunfola,,0,@JetBlue had a great experience working with Glenn Coles at Buffalo-Niagara Airport!! Top notch employee,,2015-02-22 07:22:02 -0800,Buffalo,
12625,570085025896665088,positive,0.6605,,,American,,tifotter,,0,@AmericanAir No apology necessary. It was wind and I was on Delta. XOXO,,2015-02-23 20:57:16 -0800,"Sugarhood, SLC",Mountain Time (US & Canada)
516,570299819610251265,positive,1.0,,,United,,BK_TheBri,,0,@united Thanks. It is on the same ticket.,,2015-02-24 11:10:47 -0800,"Portland, OR",
8196,568619425886121985,positive,1.0,,,Delta,,bangerangz,,0,@JetBlue my flight attendant Angel was awesome. #415 #kudos,,2015-02-19 19:53:30 -0800,,Pacific Time (US & Canada)
12765,570033099939184641,positive,1.0,,,American,,maryella_green,,0,"@AmericanAir @maryella_green just received it, actually. Thank you!!!!!!!!!",,2015-02-23 17:30:56 -0800,Sassy southerner in Chicago,Central Time (US & Canada)
4590,569994045205803009,positive,0.7047,,0.0,Southwest,,itspr1,,0,@SouthwestAir thanks for the quick response. Should I call daily it wait the 5 days.,,2015-02-23 14:55:45 -0800,,Pacific Time (US & Canada)
176,569354267854704641,positive,1.0,,,Virgin America,,simpasmore,,0,@VirginAmerica Thank you for the follow,,2015-02-21 20:33:30 -0800,Barbados ,Eastern Time (US & Canada)
11211,568423588077936640,positive,0.6931,,0.0,US Airways,,CakeNDeath,,0,@USAirways thanks for slowing the inbound plane down so that we didn't need to worry about 4438 EYW being Late Flight. Great holz ahead. Cheers! 😀,"[35.2204278, -80.94281752]",2015-02-19 06:55:18 -0800,Old City Philly,
1474,569705869816012801,positive,0.6466,,,United,,marcotulioluis,,0,“@united: Looking for a reason to travel? #quote http://t.co/GGuIg3t28z”,,2015-02-22 19:50:38 -0800,,Eastern Time (US & Canada)
10976,568644931792687104,positive,0.6987,,,US Airways,,katiesherwood,,0,@USAirways we will...sunday! Just a few days away,,2015-02-19 21:34:51 -0800,"New York, New York",Quito
7177,569920090440916994,positive,0.6633,,,Delta,,CyntheaH,,0,@JetBlue The chairs could use some TLC. And more power outlets in the area would be a bonus. Headed to @UniversalORL !,,2015-02-23 10:01:52 -0800,"Burlington, Vermont",Eastern Time (US & Canada)
4961,569604066239762432,positive,0.6604,,,Southwest,,HybridMovementC,,0,@SouthwestAir  Mad love http://t.co/4ojrSDWPkK NYC-,,2015-02-22 13:06:06 -0800,"everywhere, all the time.",
11996,570273819287531520,positive,1.0,,,American,,GoldensPleasure,,0,@AmericanAir Aww Thanks AA..DFW was on GMA up here this AM..so i understand ..Btw A.A is my Airline when im able to trv..Love you guys.:),,2015-02-24 09:27:28 -0800,East Coast     CT.,Central Time (US & Canada)
5501,568944054303625217,positive,1.0,,,Southwest,,AuthorKristina,,0,"@SouthwestAir we had early bird, and it was great. Your employees were awesome. It was 3 passengers who killed the buzz.",,2015-02-20 17:23:27 -0800,Ohio,Eastern Time (US & Canada)
7162,569924116335108096,positive,0.6625,,,Delta,,joebe4rd,,0,@JetBlue @BrandsSayingBae well here we go,,2015-02-23 10:17:52 -0800,greater los angeles ,Pacific Time (US & Canada)
